T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0610 6.05190158E-03 4.35303516E-05 3.22363982E-09 4.32924470E-01 4.94224571E-04 1.99330319E-02 -5.32892177E-02 -5.32892177E-02 0.00000000E+00
0630 5.86345283E-03 4.01581228E-05 2.59304868E-09 4.64027375E-01 4.00443179E-04 1.70657010E-02 -5.09798664E-02 -5.09798664E-02 0.00000000E+00
0650 5.73112132E-03 3.90294864E-05 2.56432647E-09 4.38866253E-01 4.15372858E-04 1.62339139E-02 -4.88400737E-02 -4.88400737E-02 0.00000000E+00
0670 5.72363193E-03 3.86227412E-05 2.51636790E-09 4.37701800E-01 3.82058022E-04 1.57649899E-02 -4.68329098E-02 -4.68329098E-02 0.00000000E+00
0690 5.52075187E-03 3.61974928E-05 2.25233333E-09 4.27000257E-01 3.61872683E-04 1.41082362E-02 -4.51057711E-02 -4.51057711E-02 0.00000000E+00
0710 5.54973462E-03 3.62843298E-05 2.22199843E-09 4.37420008E-01 3.37288179E-04 1.20386805E-02 -4.34621665E-02 -4.34621665E-02 0.00000000E+00
0730 5.43246470E-03 3.52331919E-05 2.17207318E-09 4.16757423E-01 3.42207181E-04 1.15872458E-02 -4.18803455E-02 -4.18803455E-02 0.00000000E+00
0750 5.34601936E-03 3.39881681E-05 1.97240044E-09 4.30861034E-01 3.14844218E-04 1.20145377E-02 -4.04773545E-02 -4.04773545E-02 0.00000000E+00
0770 5.27928602E-03 3.28937489E-05 1.80410027E-09 4.44207515E-01 2.84815350E-04 9.92111461E-03 -3.91391772E-02 -3.91391772E-02 0.00000000E+00
0790 5.23659194E-03 3.21968460E-05 1.73742354E-09 4.41326868E-01 2.63901849E-04 9.99146897E-03 -3.78603649E-02 -3.78603649E-02 0.00000000E+00
0810 5.15354433E-03 3.14229604E-05 1.68406350E-09 4.31483582E-01 2.62182632E-04 9.17966587E-03 -3.67058676E-02 -3.67058676E-02 0.00000000E+00
0830 5.07428807E-03 3.06484695E-05 1.59910338E-09 4.32536802E-01 2.57765518E-04 8.43988258E-03 -3.55946025E-02 -3.55946025E-02 0.00000000E+00
