#T[K]      <M>[μB]           <M^2>           <M^4>        U_{Binder}          \chi         C_v[K_B]          <E>       <E_{exc}>     <E_{lsf}>         Cv_new[K_B]
0505  4.85335261E-02  2.74545864E-03  1.19296013E-05  4.72436350E-01  1.30043904E-01  1.60495185E+00 -3.77121361E+00 -3.77121361E+00  0.00000000E+00  1.69435010E+00
0510  3.81981269E-02  1.66545971E-03  4.05971620E-06  5.12127705E-01  6.81439974E-02  1.55500978E+00 -3.71891234E+00 -3.71891234E+00  0.00000000E+00  1.61318002E+00
0530  2.25444095E-02  5.93639942E-04  5.73528662E-07  4.57515114E-01  2.71328348E-02  1.38851572E+00 -3.53400523E+00 -3.53400523E+00  0.00000000E+00  1.37211732E+00
0550  1.80135261E-02  3.78696795E-04  2.35313584E-07  4.53056477E-01  1.65989429E-02  1.20775381E+00 -3.37129338E+00 -3.37129338E+00  0.00000000E+00  1.22050177E+00
0570  1.39314480E-02  2.28783822E-04  8.83100376E-08  4.37609219E-01  1.02518718E-02  9.64064639E-01 -3.22479730E+00 -3.22479730E+00  0.00000000E+00  1.11146876E+00
0590  1.23506631E-02  1.79019617E-04  5.22563131E-08  4.56479079E-01  7.55865279E-03  1.04974273E+00 -3.08970841E+00 -3.08970841E+00  0.00000000E+00  1.02778463E+00
0610  1.08542434E-02  1.37159321E-04  3.02468846E-08  4.64069171E-01  5.34070994E-03  9.12101847E-01 -2.96441328E+00 -2.96441328E+00  0.00000000E+00  9.54448801E-01
0630  1.00370700E-02  1.18690533E-04  2.33156941E-08  4.48310223E-01  4.79773237E-03  8.60595274E-01 -2.84790365E+00 -2.84790365E+00  0.00000000E+00  8.90528200E-01
0650  9.43261813E-03  1.03572659E-04  1.74527128E-08  4.57685226E-01  3.78231313E-03  8.13266896E-01 -2.73880248E+00 -2.73880248E+00  0.00000000E+00  8.32135477E-01
0670  8.39543910E-03  8.35234711E-05  1.16155363E-08  4.44989828E-01  3.27771798E-03  7.62403187E-01 -2.63708635E+00 -2.63708635E+00  0.00000000E+00  7.80316953E-01
0690  8.11884098E-03  7.79484571E-05  1.01294324E-08  4.44289234E-01  2.93688389E-03  7.15783673E-01 -2.54111314E+00 -2.54111314E+00  0.00000000E+00  7.32879018E-01
0710  7.62634613E-03  6.86478459E-05  7.82153563E-09  4.46755705E-01  2.48740470E-03  6.88638521E-01 -2.45141517E+00 -2.45141517E+00  0.00000000E+00  6.87467294E-01
0730  7.48241692E-03  6.49767869E-05  6.75048662E-09  4.67036629E-01  2.07402506E-03  6.65195663E-01 -2.36694679E+00 -2.36694679E+00  0.00000000E+00  6.49836581E-01
0750  7.01075894E-03  5.75586213E-05  5.48355206E-09  4.48278446E-01  1.88795487E-03  6.38433814E-01 -2.28678237E+00 -2.28678237E+00  0.00000000E+00  6.12894337E-01
0770  6.62678343E-03  5.18014466E-05  4.45551575E-09  4.46531444E-01  1.72503460E-03  5.75131271E-01 -2.21167312E+00 -2.21167312E+00  0.00000000E+00  5.78249652E-01
0800  6.34294547E-03  4.76752221E-05  3.83422890E-09  4.37695794E-01  1.56668426E-03  5.63827761E-01 -2.10598778E+00 -2.10598778E+00  0.00000000E+00  5.56213181E-01
