# T <M> <M^2> <M^4> U_{Binder} χ C_v(tot) <E> <E_{exc}> <E_{lsf}> Cv_new
1.0000000000e+01 2.2580542600e+00 5.0988090600e+00 2.5997854100e+01 6.6666666300e-01 9.2342458600e-05 9.6885794800e-01 -8.5498450400e+00 -8.5498450400e+00 0.0000000000e+00 1.0212505866e+00
1.0000000000e+02 2.1331559500e+00 4.5503554000e+00 2.0705754200e+01 6.6666634600e-01 7.7124332600e-04 1.0847491000e+00 -7.9677055700e+00 -7.9677055700e+00 0.0000000000e+00 1.0425758537e+00
2.0000000000e+02 1.9838326700e+00 3.9355998400e+00 1.5489068400e+01 6.6666403300e-01 2.7445233900e-03 1.1336501500e+00 -7.2923699600e+00 -7.2923699600e+00 0.0000000000e+00 1.0990090365e+00
3.0000000000e+02 1.8192686200e+00 3.3097468600e+00 1.0954537700e+01 6.6666321800e-01 2.0123827500e-03 1.1813826300e+00 -6.5755637600e+00 -6.5755637600e+00 0.0000000000e+00 1.1895755240e+00
5.0000000000e+02 1.3968833800e+00 1.9513533200e+00 3.8083245900e+00 6.6661897400e-01 9.8894360800e-03 1.4844933200e+00 -4.9221947300e+00 -4.9221947300e+00 0.0000000000e+00 1.5328815523e+00
6.0000000000e+02 1.0641892200e+00 1.1326495300e+00 1.2835758100e+00 6.6648976200e-01 1.7722649700e-02 1.9002106900e+00 -3.8792328800e+00 -3.8792328800e+00 0.0000000000e+00 1.8651738265e+00
6.2000000000e+02 9.7283676600e-01 9.4664473200e-01 8.9701127100e-01 6.6634118700e-01 2.6535027700e-02 1.8627935100e+00 -3.6374319600e+00 -3.6374319600e+00 0.0000000000e+00 1.9757920940e+00
6.4000000000e+02 8.5976132700e-01 7.3939393800e-01 5.4730533100e-01 6.6629965700e-01 2.2515806100e-02 1.9949323800e+00 -3.3786759800e+00 -3.3786759800e+00 0.0000000000e+00 2.1293677773e+00
6.5000000000e+02 7.8955180600e-01 6.2371895500e-01 3.8982965900e-01 6.6597748700e-01 3.5456132800e-02 2.1561772700e+00 -3.2410657800e+00 -3.2410657800e+00 0.0000000000e+00 2.2272414568e+00
6.6000000000e+02 7.1189049400e-01 5.0711141900e-01 2.5781805800e-01 6.6581627300e-01 3.4538928000e-02 2.3746659300e+00 -3.0965458200e+00 -3.0965458200e+00 0.0000000000e+00 2.3515481637e+00
6.8000000000e+02 4.5412962100e-01 2.0839264900e-01 4.4975264100e-02 6.5478657600e-01 2.2383081300e-01 2.5384982000e+00 -2.7809964700e+00 -2.7809964700e+00 0.0000000000e+00 2.4092860744e+00
7.0000000000e+02 6.9477177500e-02 5.5198311700e-03 4.6425761500e-05 4.9209066800e-01 6.9770083600e-02 1.5170696900e+00 -2.4861654200e+00 -2.4861654200e+00 0.0000000000e+00 1.6783905968e+00
7.1000000000e+02 5.3457134100e-02 3.3733303100e-03 1.9607515300e-05 4.2564081500e-01 5.1203340800e-02 1.3102360000e+00 -2.4004187800e+00 -2.4004187800e+00 0.0000000000e+00 1.2630259711e+00
7.2000000000e+02 4.0995512100e-02 1.9609984100e-03 6.2701964000e-06 4.5649266600e-01 2.7452527500e-02 1.1330161200e+00 -2.3261748100e+00 -2.3261748100e+00 0.0000000000e+00 1.1133026640e+00
7.3000000000e+02 3.5181253200e-02 1.4552304800e-03 3.4723106700e-06 4.5344514500e-01 2.1006082000e-02 9.9597590600e-01 -2.2593939900e+00 -2.2593939900e+00 0.0000000000e+00 1.0067336456e+00
7.5000000000e+02 2.7121168800e-02 8.6422612900e-04 1.2293625500e-06 4.5133919300e-01 1.2094816900e-02 7.9898304400e-01 -2.1439409800e+00 -2.1439409800e+00 0.0000000000e+00 8.5456440383e-01
8.0000000000e+02 1.8869640700e-02 4.1518746300e-04 2.8303999600e-07 4.5268406500e-01 5.2103105700e-03 6.3417879500e-01 -1.9183367400e+00 -1.9183367400e+00 0.0000000000e+00 7.1240184483e-01
