#mammos csv v2
#----------------------------------------
# Magnetization and heat capacity from UppASD
#----------------------------------------
#ThermodynamicTemperature,SpontaneousMagnetization,IsochoricHeatCapacity
#https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4
#K,A / m,J / K
T,Ms,Cv
10.0,1354445.3857322978,1.3376528288420002e-22
100.0,1279527.992354109,1.497657622101e-22
200.0,1189959.7852458186,1.5651727388500003e-22
300.0,1091249.590335666,1.6310752575670004e-22
500.0,837890.3842679978,2.0495637759570003e-22
600.0,638331.0056345279,2.6235244169390004e-22
620.0,583535.4627124291,2.571864673306e-22
640.0,515709.2431281918,2.754300870868e-22
650.0,473595.87644746643,2.9769236188730002e-22
660.0,427011.98715751065,3.278580238234e-22
680.0,272400.16537363955,3.5047747252020005e-22
700.0,41674.2921402778,2.09454117843e-22
710.0,32065.03785343107,1.808976023164e-22
720.0,24590.57357949867,1.5642974073840002e-22
730.0,21102.570228811164,1.375093268424e-22
750.0,16267.951655029352,1.1031150799670002e-22
800.0,11318.765817278269,8.75578602171e-23
