#mammos csv v2
#----------------------------------------
# Magnetization and heat capacity from UppASD
#----------------------------------------
#ThermodynamicTemperature,SpontaneousMagnetization,IsochoricHeatCapacity
#https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4
#K,A / m,J / K
T,Ms,Cv
10.0,1354490.9727064425,1.3754301467799999e-22
100.0,1279986.261409986,1.409735132483e-22
200.0,1190263.298521046,1.474335699193e-22
300.0,1090286.2655925525,1.6561133271820002e-22
500.0,839165.619886839,1.9975906250010001e-22
600.0,641081.2197983975,2.5785152595390003e-22
620.0,588863.1404013038,2.9267991569280004e-22
640.0,519516.9551265004,2.991804253795e-22
650.0,478903.75979230454,3.3215391318690003e-22
660.0,431270.77026841027,3.414502370986e-22
680.0,277825.61512548284,3.7862987208450005e-22
700.0,65441.301042133484,2.184781777719e-22
710.0,42385.688868380195,1.747745620663e-22
720.0,35245.92895724806,1.594882924681e-22
730.0,28885.346406828416,1.2912519772500002e-22
750.0,22503.769855157858,1.236786754849e-22
800.0,15582.9473856424,8.165669026130001e-23
