# T <M> <M^2> <M^4> U_{Binder} χ C_v(tot) <E> <E_{exc}> <E_{lsf}> Cv_new
1.0000000000e+01 2.2581304400e+00 5.0991531000e+00 2.6001362700e+01 6.6666666200e-01 6.7634421500e-05 9.9622015100e-01 -8.5498301000e+00 -8.5498301000e+00 0.0000000000e+00 1.0212681472e+00
1.0000000000e+02 2.1339196300e+00 4.5536148600e+00 2.0735442200e+01 6.6666612200e-01 6.7128833700e-04 1.0210672800e+00 -7.9676806200e+00 -7.9676806200e+00 0.0000000000e+00 1.0424023272e+00
2.0000000000e+02 1.9843386600e+00 3.9376076800e+00 1.5504876300e+01 6.6666404200e-01 1.3993037300e-03 1.0678570800e+00 -7.2925893900e+00 -7.2925893900e+00 0.0000000000e+00 1.0991292915e+00
3.0000000000e+02 1.8176630900e+00 3.3039434700e+00 1.0916625800e+01 6.6664885300e-01 5.3359315300e-03 1.1995182800e+00 -6.5753864800e+00 -6.5753864800e+00 0.0000000000e+00 1.1901884354e+00
5.0000000000e+02 1.3990086100e+00 1.9573098000e+00 3.8317222600e+00 6.6660918800e-01 6.1157590900e-03 1.4468493400e+00 -4.9212751200e+00 -4.9212751200e+00 0.0000000000e+00 1.5311789170e+00
6.0000000000e+02 1.0687737800e+00 1.1425045400e+00 1.3063493800e+00 6.6640293700e-01 1.3665432600e-02 1.8676105600e+00 -3.8801164300e+00 -3.8801164300e+00 0.0000000000e+00 1.8631544689e+00
6.2000000000e+02 9.8171875900e-01 9.6408425800e-01 9.3065736800e-01 6.6623669900e-01 1.8195677500e-02 2.1198724600e+00 -3.6385503400e+00 -3.6385503400e+00 0.0000000000e+00 1.9810268150e+00
6.4000000000e+02 8.6610907600e-01 7.5049796100e-01 5.6429747300e-01 6.6604510300e-01 1.9910917500e-02 2.1669546300e+00 -3.3782333400e+00 -3.3782333400e+00 0.0000000000e+00 2.1306365088e+00
6.5000000000e+02 7.9840121100e-01 6.3788221400e-01 4.0799940400e-01 6.6576087300e-01 2.4307579300e-02 2.4057810600e+00 -3.2408928600e+00 -3.2408928600e+00 0.0000000000e+00 2.2131632589e+00
6.6000000000e+02 7.1899013100e-01 5.1753716800e-01 2.6906016100e-01 6.6515404900e-01 3.2287309700e-02 2.4731142000e+00 -3.0978865000e+00 -3.0978865000e+00 0.0000000000e+00 2.3335017789e+00
6.8000000000e+02 4.6317507900e-01 2.1702408100e-01 4.9154437800e-02 6.5212307300e-01 1.3233039800e-01 2.7424047300e+00 -2.7831406900e+00 -2.7831406900e+00 0.0000000000e+00 2.4107704144e+00
7.0000000000e+02 1.0910008100e-01 1.3688635500e-02 2.7810133000e-04 5.0527769200e-01 9.2086403400e-02 1.5824310200e+00 -2.4871300500e+00 -2.4871300500e+00 0.0000000000e+00 1.6972731802e+00
7.1000000000e+02 7.0663259800e-02 5.8573191500e-03 5.6035508600e-05 4.5556719400e-01 4.3926411900e-02 1.2658868200e+00 -2.3998843800e+00 -2.3998843800e+00 0.0000000000e+00 1.2755854490e+00
7.2000000000e+02 5.8759841600e-02 4.0817942500e-03 2.8116691700e-05 4.3747640400e-01 3.1537622700e-02 1.1551692300e+00 -2.3255485000e+00 -2.3255485000e+00 0.0000000000e+00 1.1138930844e+00
7.3000000000e+02 4.8156467900e-02 2.7327366500e-03 1.2484190000e-05 4.4275837100e-01 2.0455604500e-02 9.3524990100e-01 -2.2587848000e+00 -2.2587848000e+00 0.0000000000e+00 1.0049850150e+00
7.5000000000e+02 3.7516505100e-02 1.6511977300e-03 4.4782185400e-06 4.5249780700e-01 1.1729248100e-02 8.9580056700e-01 -2.1439278200e+00 -2.1439278200e+00 0.0000000000e+00 8.5102609280e-01
8.0000000000e+02 2.5979164500e-02 7.9854189000e-04 1.0648964200e-06 4.4333911600e-01 5.5779526000e-03 5.9143708000e-01 -1.9185202000e+00 -1.9185202000e+00 0.0000000000e+00 7.1178096798e-01
